1	120111	2999	0.01	0	1
2	120112	2999	0.01	0	1
3	120121	1999	0.01	0	1
4	120122	1999	0.01	0	1
5	120411	5590	0.01	0	1
6	120412	5590	0.01	0	1
7	120521	4531	0.01	0	1
8	120522	4531	0.01	0	1
9	120611	9992	0.01	0	1
10	120612	9992	0.01	0	1
11	120621	7807	0.005	0	1
12	120622	7807	0.005	0	1
13	120711	4096	0.01	0	1
14	120712	4096	0.01	0	1
15	120721	4096	0.01	0	1
16	120722	4096	0.01	0	1
17	120811	5437	0.005	0	1
18	120812	5437	0.005	0	1
19	120821	6000	0.005	0	1
20	120822	6000	0.005	0	1
21	120911	2200	0.02	0	1
22	120912	2200	0.02	0	1
23	120921	11186	0.0025	0	1
24	120922	11186	0.0025	0	1
25	121011	7991	0.005	0	1
26	121012	7991	0.005	0	1
27	121021	7989	0.005	0	1
28	121022	7989	0.005	0	1
29	121111	2676	0.02	0	1
30	121112	2300	0.02	0	1
31	121211	8000	0.005	0	1
32	121212	8000	0.005	0	1
33	121221	2230	0.01	0	1
34	121222	2230	0.01	0	1
35	121321	1800	0.02	0	1
36	121322	1800	0.02	0	1
37	121411	18000	0.005	0	1
38	121412	18000	0.005	0	1
39	121421	18000	0.005	0	1
40	121422	18000	0.005	0	1
41	121511	2800	0.01	0	1
42	121512	2800	0.01	0	1
43	121711	7269	0.005	0	1
44	121712	7269	0.005	0	1
