Period '120111'  '120112'  '120121'  '120122'  '120411'  '120412'  '120521'  '120522'  '120611'  '120612'  '120621'  '120622'  '120711'  '120712'  '120721'  '120722'  '120811'  '120812'  '120821'  '120822'  '120911'  '120912'  '120921'  '120922'  '121011'  '121012'  '121021'  '121022'  '121111'  '121112'  '121211'  '121212'  '121221'  '121222'  '121321'  '121322'  '121411'  '121412'  '121421'  '121422'  '121511'  '121512'  '121711'  '121712'
1.15  0.562116  0.571618  0.204390  0.377514  0.287688  0.524294  0.502108  0.543259  0.244457  0.363800  0.223960  0.279621  0.277652  0.239701  0.429389  0.374218  0.216338  0.446029  0.139285  0.134660  0.444328  0.284315  0.237954  0.464994  0.557644  0.326335  0.151847  0.345330  0.136967  0.339111  0.381523  0.277946  0.419362  0.367103  0.391130  0.304048  0.123461  0.249754  0.195154  0.324777  0.496789  0.216743  0.287587  0.323302
1.16  0.561009  0.567778  0.200565  0.366538  0.280076  0.513913  0.502545  0.549590  0.245506  0.366029  0.220817  0.288137  0.266380  0.244148  0.431367  0.386307  0.210556  0.447681  0.136972  0.135884  0.455377  0.282441  0.237150  0.479126  0.592150  0.323941  0.149470  0.346122  0.129489  0.327854  0.389872  0.280468  0.392822  0.363346  0.387932  0.299702  0.127812  0.243926  0.193139  0.313648  0.506851  0.206052  0.285859  0.321718
1.17  0.559447  0.563743  0.198902  0.355728  0.272779  0.503659  0.499052  0.554830  0.245768  0.391603  0.217776  0.294626  0.254799  0.248387  0.432576  0.396638  0.204843  0.449264  0.138468  0.137380  0.466229  0.280665  0.234852  0.491420  0.622846  0.331778  0.147093  0.344362  0.123821  0.315102  0.397004  0.281859  0.364872  0.356299  0.385144  0.296013  0.131259  0.237892  0.191508  0.303189  0.514606  0.199973  0.283987  0.318837
1.18  0.557169  0.558927  0.197737  0.345334  0.265292  0.492838  0.491848  0.559087  0.245637  0.413373  0.214734  0.298986  0.245699  0.252213  0.433236  0.405101  0.199336  0.450640  0.141597  0.139421  0.477673  0.278889  0.231290  0.501531  0.649079  0.341139  0.144716  0.340313  0.123113  0.301484  0.402656  0.282033  0.337510  0.347374  0.381864  0.291667  0.133722  0.231653  0.189493  0.293883  0.520895  0.196410  0.281971  0.314805
1.19  0.554111  0.553330  0.196573  0.335106  0.258938  0.481829  0.481478  0.562252  0.245244  0.430553  0.222440  0.302534  0.236082  0.255626  0.434335  0.411365  0.194036  0.451879  0.144045  0.143773  0.488327  0.277409  0.226580  0.509344  0.670631  0.347017  0.142340  0.338112  0.123427  0.288102  0.406918  0.281164  0.343734  0.337745  0.378011  0.287649  0.135200  0.225250  0.190165  0.286111  0.525926  0.193056  0.279811  0.309477
1.20  0.549815  0.547407  0.195243  0.325460  0.256485  0.470694  0.475366  0.564326  0.244457  0.442619  0.230652  0.305576  0.226154  0.257797  0.433895  0.414992  0.188874  0.453050  0.145814  0.148398  0.497699  0.285696  0.221064  0.514860  0.687068  0.349303  0.140051  0.338376  0.128072  0.274878  0.409614  0.279337  0.351837  0.328702  0.376207  0.283385  0.135651  0.218642  0.190261  0.279875  0.530956  0.190331  0.277507  0.303140
1.21  0.543958  0.540639  0.193746  0.316230  0.253968  0.459182  0.469144  0.565308  0.242883  0.448914  0.238154  0.307198  0.216227  0.258832  0.431367  0.415761  0.183918  0.453944  0.146630  0.152751  0.506972  0.294575  0.214860  0.517847  0.698715  0.348106  0.137762  0.338640  0.132480  0.262520  0.410918  0.276728  0.358531  0.321069  0.377519  0.279121  0.135200  0.211952  0.189014  0.275077  0.535358  0.188235  0.275202  0.295652
1.22  0.536408  0.533154  0.192166  0.307499  0.251578  0.447795  0.462158  0.565308  0.239735  0.449307  0.244947  0.307401  0.206920  0.258521  0.428070  0.413233  0.182197  0.454839  0.146630  0.156831  0.514273  0.302763  0.207966  0.518651  0.705573  0.343425  0.135386  0.338816  0.136416  0.251578  0.410831  0.273598  0.364285  0.315314  0.378011  0.274939  0.133845  0.205139  0.186135  0.271431  0.539131  0.186768  0.272754  0.287443
1.23  0.527232  0.525149  0.190669  0.299516  0.249124  0.436345  0.454517  0.564326  0.235145  0.443799  0.250929  0.306387  0.198441  0.256970  0.424993  0.407409  0.180545  0.455527  0.145950  0.160640  0.521376  0.309866  0.200613  0.517157  0.707750  0.335806  0.133097  0.338904  0.139722  0.244100  0.409527  0.270119  0.368630  0.311322  0.377683  0.270265  0.131588  0.198325  0.181818  0.268457  0.541228  0.185510  0.270162  0.278515
1.24  0.516493  0.516623  0.189173  0.291950  0.246545  0.424644  0.446549  0.562470  0.238555  0.433307  0.256302  0.304156  0.191099  0.254075  0.421366  0.401913  0.178962  0.456078  0.144589  0.164176  0.526801  0.316081  0.192914  0.513825  0.705573  0.325791  0.130720  0.338904  0.142870  0.238905  0.407179  0.266379  0.371918  0.308503  0.375797  0.266165  0.128468  0.191471  0.176445  0.265675  0.541647  0.184043  0.267570  0.268866
1.25  0.504453  0.507447  0.187676  0.285214  0.244092  0.413194  0.438035  0.559851  0.239998  0.421373  0.261067  0.301013  0.188307  0.249938  0.417080  0.395869  0.177379  0.456560  0.142549  0.167305  0.531833  0.321112  0.184757  0.508540  0.699150  0.314035  0.128431  0.338816  0.148853  0.234418  0.403787  0.266292  0.374032  0.305920  0.373993  0.262557  0.124610  0.184658  0.170304  0.262892  0.540389  0.182785  0.264978  0.260225
1.26  0.491046  0.498075  0.186429  0.279061  0.241638  0.401933  0.429193  0.556467  0.239867  0.417832  0.265528  0.296958  0.189341  0.244871  0.411915  0.388286  0.175796  0.456973  0.139829  0.170161  0.535581  0.325058  0.176484  0.501761  0.690007  0.301517  0.126143  0.338640  0.154363  0.231427  0.399613  0.267075  0.374972  0.303101  0.372599  0.261983  0.120095  0.177968  0.164068  0.259630  0.537454  0.180689  0.262386  0.253457
1.27  0.476598  0.488312  0.185348  0.273490  0.239247  0.390672  0.420025  0.552428  0.238686  0.413373  0.269888  0.292091  0.195442  0.238977  0.406090  0.380153  0.174282  0.457248  0.136564  0.172746  0.538146  0.327722  0.168211  0.502795  0.696538  0.289108  0.123854  0.338376  0.159007  0.233158  0.394742  0.267597  0.374972  0.299343  0.370057  0.260999  0.115170  0.171359  0.158311  0.255696  0.547097  0.178383  0.259649  0.246544
1.28  0.462410  0.478290  0.185015  0.268667  0.236794  0.381676  0.410528  0.550245  0.236719  0.409045  0.274247  0.286617  0.201026  0.232256  0.399496  0.370371  0.172836  0.457455  0.132892  0.174922  0.540613  0.329596  0.160858  0.504174  0.699259  0.277897  0.121477  0.338112  0.162550  0.236937  0.389264  0.267945  0.373797  0.294293  0.366941  0.259769  0.113733  0.164874  0.153322  0.251091  0.561141  0.175029  0.256913  0.239776
1.29  0.452452  0.468527  0.185597  0.264343  0.234529  0.373875  0.400704  0.548390  0.234490  0.405504  0.278506  0.280635  0.206403  0.225017  0.392462  0.358832  0.171459  0.457455  0.128811  0.176690  0.541501  0.329892  0.165339  0.503829  0.698171  0.269406  0.119189  0.337760  0.165147  0.242447  0.383524  0.268119  0.371801  0.288304  0.363497  0.258048  0.115621  0.158554  0.149196  0.245718  0.572670  0.173981  0.254033  0.232864
1.30  0.441648  0.458505  0.186096  0.260601  0.232327  0.366012  0.395028  0.546425  0.231867  0.402881  0.282764  0.274146  0.211470  0.217468  0.384769  0.346193  0.170152  0.457455  0.125683  0.178186  0.541698  0.329991  0.169820  0.501991  0.693164  0.269515  0.116900  0.337320  0.166722  0.249216  0.377349  0.268206  0.368748  0.281728  0.359889  0.256080  0.116483  0.152315  0.145838  0.239673  0.581683  0.173143  0.251153  0.225951
1.31  0.430389  0.449068  0.186595  0.258106  0.230188  0.358211  0.390553  0.544242  0.228981  0.401045  0.286819  0.267252  0.215814  0.209816  0.376416  0.332455  0.168844  0.457179  0.125274  0.179410  0.541698  0.328708  0.173611  0.498544  0.684347  0.269080  0.114611  0.336792  0.166643  0.256931  0.371000  0.268380  0.365107  0.276091  0.356035  0.254440  0.116483  0.146240  0.142672  0.232957  0.588601  0.171675  0.248417  0.219183
1.32  0.418804  0.439696  0.187011  0.257025  0.228112  0.350473  0.385750  0.542059  0.225572  0.399734  0.290672  0.260155  0.219226  0.202267  0.367514  0.318168  0.167605  0.456698  0.124594  0.180363  0.540613  0.327031  0.176484  0.493603  0.685871  0.268100  0.112323  0.336263  0.165305  0.265196  0.364478  0.268380  0.360410  0.273038  0.351853  0.252554  0.115909  0.149278  0.139506  0.225953  0.592793  0.169789  0.245536  0.212270
1.33  0.407415  0.431040  0.187593  0.256194  0.226099  0.342798  0.380729  0.539657  0.221506  0.398422  0.294322  0.252855  0.221398  0.195442  0.358172  0.303331  0.166435  0.456009  0.123642  0.180907  0.538442  0.325058  0.178207  0.487514  0.697082  0.266576  0.110298  0.335559  0.167745  0.273855  0.358042  0.268380  0.355125  0.270689  0.346933  0.250258  0.114842  0.153136  0.135764  0.218757  0.594680  0.167483  0.242656  0.205646
1.34  0.396156  0.422840  0.189755  0.255695  0.224212  0.335248  0.375381  0.537038  0.217047  0.396586  0.297769  0.245353  0.222742  0.194408  0.348611  0.288384  0.165402  0.455114  0.122554  0.181179  0.536075  0.322691  0.178897  0.480390  0.707423  0.273543  0.113819  0.334855  0.169949  0.282435  0.351607  0.268380  0.349371  0.268693  0.341193  0.247634  0.113364  0.156378  0.131062  0.211561  0.594051  0.164758  0.239776  0.199021
1.35  0.385613  0.415290  0.192416  0.255362  0.222450  0.327825  0.369923  0.534090  0.214555  0.393570  0.301115  0.237952  0.222949  0.194408  0.338720  0.273437  0.164370  0.453875  0.121194  0.181179  0.532819  0.320323  0.179127  0.472232  0.716784  0.283122  0.117252  0.333975  0.171523  0.290857  0.345258  0.268206  0.342794  0.267048  0.335290  0.244764  0.111640  0.158964  0.131542  0.204653  0.590487  0.161823  0.236752  0.192397
1.36  0.375980  0.408587  0.195575  0.255279  0.220752  0.320527  0.364029  0.531252  0.212719  0.391996  0.304258  0.230652  0.222018  0.196166  0.328608  0.258930  0.163406  0.452430  0.119562  0.181043  0.528084  0.317659  0.178322  0.463385  0.724839  0.294007  0.120509  0.333006  0.172232  0.298887  0.339171  0.268032  0.335866  0.265757  0.328730  0.241566  0.110039  0.160934  0.137299  0.198225  0.584828  0.158679  0.233872  0.186060
1.37  0.367324  0.402469  0.199234  0.255362  0.219116  0.313293  0.358025  0.528087  0.211014  0.404455  0.307096  0.223352  0.219536  0.197717  0.318388  0.254095  0.162443  0.450778  0.117929  0.180499  0.523250  0.315193  0.176714  0.453963  0.731370  0.305327  0.123590  0.331950  0.172625  0.306365  0.333083  0.267771  0.328467  0.264700  0.321596  0.238204  0.108316  0.162248  0.142768  0.192468  0.577072  0.155535  0.230991  0.179724
1.38  0.359905  0.397262  0.203226  0.255529  0.217481  0.306184  0.351694  0.524703  0.209965  0.417045  0.309732  0.216255  0.215503  0.198958  0.308057  0.251897  0.161617  0.448782  0.115889  0.179819  0.517430  0.312529  0.176024  0.444197  0.736160  0.316321  0.126407  0.330806  0.172468  0.313607  0.327169  0.267423  0.320599  0.263760  0.314134  0.235088  0.106469  0.162945  0.147661  0.187383  0.567010  0.152181  0.227967  0.173532
1.39  0.353852  0.392837  0.207549  0.255695  0.215971  0.299075  0.345145  0.521210  0.209965  0.428193  0.311963  0.209361  0.209816  0.199992  0.298935  0.250578  0.160859  0.446579  0.113849  0.178866  0.510425  0.309471  0.174301  0.437993  0.738990  0.326335  0.128960  0.329485  0.171602  0.320455  0.321429  0.267249  0.312613  0.262703  0.308066  0.231808  0.104540  0.163151  0.151787  0.183161  0.555272  0.148827  0.225087  0.167483
1.40  0.349101  0.389127  0.212040  0.255695  0.214587  0.292218  0.338596  0.517499  0.217965  0.437242  0.313991  0.202669  0.206714  0.200819  0.293769  0.250028  0.160102  0.444101  0.111536  0.177642  0.503816  0.306018  0.171658  0.430984  0.739861  0.334935  0.131336  0.328077  0.170264  0.326516  0.315777  0.267075  0.304393  0.261294  0.303966  0.228200  0.102569  0.162945  0.154857  0.179707  0.548354  0.145473  0.222063  0.162155
1.41  0.345847  0.386068  0.216779  0.255529  0.213266  0.285424  0.331719  0.513788  0.226752  0.443799  0.315511  0.197397  0.207541  0.201440  0.288164  0.250358  0.159414  0.441348  0.109088  0.176282  0.496121  0.302467  0.168096  0.423286  0.738663  0.341575  0.134857  0.326492  0.168689  0.332184  0.310124  0.266988  0.295938  0.258945  0.298718  0.224428  0.103144  0.162412  0.156872  0.176925  0.541856  0.142329  0.219039  0.160283
1.42  0.343895  0.383790  0.221519  0.255113  0.212007  0.278692  0.324733  0.509858  0.234883  0.447340  0.316829  0.194761  0.207748  0.201750  0.282340  0.251457  0.158726  0.438320  0.106504  0.174786  0.487834  0.298817  0.163845  0.414783  0.735398  0.346255  0.138555  0.324908  0.166485  0.337379  0.304384  0.266988  0.287247  0.257654  0.293635  0.220410  0.105401  0.161673  0.157831  0.174622  0.534520  0.139394  0.216014  0.158267
1.43  0.343179  0.381968  0.226342  0.254448  0.210749  0.272087  0.317638  0.505710  0.242227  0.448127  0.317640  0.192125  0.207127  0.201957  0.276405  0.252996  0.158106  0.435084  0.103783  0.173154  0.479843  0.294871  0.159134  0.405936  0.729955  0.348650  0.141724  0.323147  0.163888  0.342574  0.298644  0.267075  0.278792  0.257301  0.287321  0.216229  0.108275  0.160934  0.157831  0.172799  0.526345  0.136669  0.213134  0.156394
1.44  0.343569  0.380536  0.231165  0.253367  0.209491  0.265607  0.310325  0.501563  0.248522  0.446553  0.318249  0.189692  0.205886  0.201853  0.270030  0.254974  0.157556  0.431574  0.101063  0.171385  0.471063  0.290727  0.153964  0.396629  0.722553  0.348650  0.144540  0.321299  0.161211  0.346825  0.292643  0.267162  0.270337  0.255540  0.280925  0.211965  0.110819  0.160277  0.157064  0.171168  0.516912  0.134364  0.210110  0.154234
1.45  0.344871  0.379625  0.235738  0.252036  0.208233  0.259190  0.303121  0.497087  0.254030  0.442619  0.318654  0.187360  0.204128  0.201647  0.263766  0.257282  0.156936  0.427719  0.098479  0.169617  0.461987  0.286189  0.148793  0.386978  0.713083  0.346364  0.147445  0.319450  0.158141  0.350446  0.286556  0.267336  0.261881  0.252017  0.273873  0.208029  0.112954  0.159867  0.155529  0.169824  0.506641  0.132687  0.207086  0.152218
1.46  0.346889  0.378779  0.240229  0.250207  0.207100  0.252836  0.295807  0.492612  0.258883  0.436979  0.318958  0.185028  0.201750  0.201336  0.257282  0.259810  0.160102  0.423658  0.095758  0.168121  0.453207  0.281158  0.143738  0.377096  0.701436  0.341792  0.149558  0.317602  0.155701  0.353752  0.280294  0.267510  0.253426  0.246615  0.266083  0.203847  0.114718  0.159867  0.153514  0.168481  0.495531  0.131219  0.204062  0.150058
1.47  0.349557  0.378258  0.244552  0.248128  0.206031  0.246671  0.288603  0.487918  0.263342  0.434881  0.319465  0.182899  0.199061  0.200716  0.250688  0.262337  0.164095  0.419391  0.093038  0.166897  0.444328  0.275634  0.138797  0.366985  0.687939  0.334935  0.150702  0.315665  0.153261  0.355956  0.273772  0.267858  0.245323  0.239334  0.260097  0.199583  0.116032  0.160360  0.151211  0.167234  0.483583  0.130171  0.201037  0.147898
1.48  0.352551  0.377738  0.248544  0.245717  0.204836  0.240569  0.281181  0.482897  0.267932  0.445242  0.320175  0.180770  0.196683  0.200095  0.244093  0.264755  0.166985  0.414779  0.090453  0.165808  0.435548  0.270010  0.134086  0.356759  0.672482  0.326009  0.150878  0.313728  0.150427  0.357609  0.267075  0.268293  0.237455  0.230056  0.253866  0.195155  0.116853  0.161427  0.148524  0.166083  0.471216  0.129752  0.198013  0.145882
1.49  0.355675  0.377152  0.252203  0.242973  0.203703  0.234592  0.274086  0.477985  0.272522  0.472913  0.320986  0.178742  0.197097  0.204439  0.237499  0.266953  0.168844  0.409961  0.087733  0.164584  0.429037  0.263894  0.129835  0.346304  0.655283  0.315233  0.150702  0.311792  0.147200  0.358632  0.260292  0.268641  0.229821  0.219017  0.247142  0.190645  0.117263  0.163068  0.145838  0.164931  0.458429  0.129333  0.195133  0.143722
1.50  0.358734  0.376501  0.255529  0.239979  0.202508  0.228741  0.266772  0.472637  0.277506  0.500585  0.321797  0.176816  0.197200  0.211574  0.230685  0.268931  0.169532  0.404936  0.085013  0.163360  0.424993  0.257482  0.128801  0.335848  0.636234  0.302933  0.150438  0.309767  0.147121  0.358947  0.253508  0.268901  0.222423  0.211854  0.240418  0.186053  0.117181  0.165367  0.142960  0.163876  0.445224  0.129123  0.192109  0.141561
1.51  0.361727  0.375655  0.258356  0.236736  0.201313  0.222954  0.259786  0.467507  0.282227  0.527339  0.322203  0.174890  0.196993  0.218812  0.223871  0.270470  0.169119  0.399705  0.082156  0.162136  0.421145  0.250971  0.128341  0.325392  0.615662  0.289217  0.149910  0.307743  0.148223  0.359105  0.246725  0.268901  0.215377  0.209857  0.233448  0.181625  0.116730  0.168158  0.139889  0.162916  0.432018  0.129123  0.189229  0.139401
1.52  0.364331  0.374483  0.260934  0.233410  0.200180  0.217355  0.252691  0.461940  0.286555  0.551995  0.322101  0.173065  0.196993  0.226154  0.217167  0.271679  0.167674  0.394199  0.079164  0.160640  0.416805  0.244558  0.128341  0.314821  0.599769  0.274522  0.149030  0.305806  0.148853  0.361230  0.240202  0.268554  0.208683  0.207861  0.226232  0.177280  0.115909  0.171442  0.136627  0.162149  0.418393  0.128914  0.186204  0.137241
1.53  0.366413  0.373117  0.262846  0.230084  0.198985  0.211882  0.245706  0.456482  0.290096  0.574027  0.321493  0.171240  0.196580  0.233290  0.210463  0.272448  0.165127  0.388554  0.076171  0.159143  0.411872  0.238146  0.128686  0.304366  0.585945  0.259066  0.147709  0.306158  0.149168  0.363749  0.233854  0.267771  0.202459  0.205982  0.218771  0.172770  0.114801  0.175012  0.133269  0.161573  0.404977  0.128285  0.183324  0.135225
1.54  0.368105  0.371294  0.264592  0.226758  0.197727  0.206597  0.238938  0.450806  0.292325  0.592519  0.320276  0.169314  0.195545  0.240115  0.203649  0.272888  0.161617  0.382704  0.075899  0.157511  0.407038  0.231536  0.129261  0.294025  0.571142  0.244371  0.145861  0.306598  0.148932  0.366189  0.227679  0.266553  0.196587  0.204103  0.211473  0.168260  0.113487  0.178788  0.129623  0.161189  0.391352  0.127656  0.180300  0.133209
1.55  0.369017  0.369082  0.265673  0.223348  0.196406  0.201376  0.232061  0.445239  0.293374  0.607338  0.318350  0.167489  0.194718  0.246526  0.196945  0.272778  0.157280  0.376646  0.075491  0.155743  0.402007  0.224828  0.130180  0.283914  0.555467  0.231309  0.143220  0.306862  0.148302  0.367606  0.221591  0.264901  0.191068  0.202459  0.204011  0.163668  0.111969  0.182647  0.125881  0.160997  0.377727  0.126398  0.177420  0.131193
1.56  0.369342  0.366543  0.266422  0.219939  0.195085  0.196343  0.225512  0.439345  0.299669  0.618092  0.315816  0.165562  0.196580  0.252420  0.190241  0.272338  0.152187  0.370520  0.075083  0.153839  0.396581  0.217922  0.131099  0.273918  0.539030  0.217920  0.139875  0.306862  0.147515  0.368787  0.215678  0.262901  0.186018  0.200815  0.199091  0.159076  0.110327  0.186423  0.122043  0.160997  0.364312  0.124512  0.174540  0.129177
1.57  0.368951  0.363485  0.266671  0.216364  0.193700  0.191499  0.218854  0.433560  0.304128  0.625174  0.312774  0.163636  0.199372  0.257591  0.183647  0.271349  0.151085  0.364257  0.074539  0.151934  0.390958  0.211115  0.132133  0.264151  0.521941  0.204531  0.135914  0.306598  0.146334  0.369102  0.209938  0.261161  0.181908  0.199406  0.197205  0.154648  0.108685  0.189993  0.118110  0.161189  0.350897  0.122416  0.171659  0.127161
1.58  0.367650  0.359970  0.266588  0.212539  0.192379  0.186780  0.212523  0.427556  0.306620  0.628846  0.309023  0.161710  0.200923  0.261934  0.177053  0.270030  0.150604  0.357855  0.073995  0.149758  0.385630  0.204210  0.133167  0.255189  0.504307  0.191578  0.133713  0.306158  0.144760  0.368629  0.204459  0.261335  0.178267  0.198114  0.195483  0.150302  0.107125  0.193236  0.114176  0.161477  0.337900  0.119691  0.168923  0.125288
1.59  0.365762  0.356065  0.266172  0.208464  0.190932  0.182251  0.206192  0.421662  0.307276  0.629764  0.304765  0.159682  0.201233  0.265450  0.170569  0.268162  0.150122  0.351454  0.073451  0.147582  0.379909  0.197501  0.134201  0.247836  0.486129  0.179278  0.132041  0.305454  0.142949  0.371070  0.199328  0.261161  0.174627  0.196939  0.193597  0.145874  0.105730  0.196027  0.110338  0.161765  0.325114  0.116546  0.166043  0.123416
1.60  0.363029  0.351835  0.265507  0.204223  0.189423  0.177910  0.204118  0.415658  0.306095  0.628715  0.299999  0.157654  0.200302  0.268035  0.164194  0.265854  0.149640  0.344915  0.072771  0.145269  0.373891  0.190990  0.135235  0.240597  0.467624  0.178407  0.130280  0.304574  0.140903  0.373746  0.194458  0.260814  0.171104  0.195765  0.191629  0.141364  0.104540  0.198325  0.106596  0.162149  0.312537  0.113192  0.163307  0.121544
1.61  0.359515  0.347084  0.265590  0.199733  0.187913  0.173758  0.206410  0.409655  0.303341  0.625830  0.294930  0.155525  0.198131  0.269689  0.157820  0.263107  0.149158  0.338376  0.072091  0.142957  0.368169  0.184874  0.136155  0.233703  0.448684  0.178516  0.128343  0.303517  0.138698  0.375871  0.189936  0.260205  0.167698  0.194826  0.189907  0.136937  0.103678  0.200049  0.108035  0.162533  0.300589  0.109419  0.160571  0.119816
1.62  0.355349  0.344481  0.265424  0.195326  0.186277  0.169795  0.207720  0.403542  0.299538  0.621764  0.289861  0.153497  0.194925  0.270413  0.151665  0.259919  0.148676  0.331768  0.071411  0.140509  0.362447  0.179053  0.137074  0.232669  0.429635  0.178298  0.126319  0.302285  0.136731  0.376737  0.185848  0.259422  0.164645  0.194004  0.188021  0.132591  0.103226  0.201116  0.109474  0.162916  0.288850  0.105646  0.157835  0.118088
1.63  0.350403  0.341747  0.265091  0.190753  0.184704  0.166020  0.208157  0.397539  0.300850  0.616519  0.287123  0.152889  0.191616  0.270310  0.145621  0.256403  0.148194  0.325229  0.070866  0.140237  0.356528  0.173430  0.137763  0.232669  0.410695  0.177754  0.124118  0.300965  0.134763  0.377682  0.182195  0.258552  0.162413  0.193299  0.186053  0.128327  0.103144  0.201486  0.110530  0.163108  0.277741  0.107533  0.155242  0.116360
1.64  0.344806  0.338493  0.264509  0.186179  0.183069  0.162434  0.207938  0.391426  0.300718  0.609699  0.287225  0.152179  0.189134  0.269379  0.139796  0.252556  0.147713  0.318759  0.070186  0.142141  0.350313  0.168004  0.138338  0.232439  0.394476  0.176883  0.121829  0.299556  0.132795  0.377524  0.178978  0.257770  0.160534  0.192712  0.183921  0.124145  0.103513  0.201199  0.111106  0.163300  0.267050  0.109000  0.152506  0.114776
1.65  0.338623  0.334718  0.263844  0.181439  0.181370  0.158974  0.206956  0.385423  0.299145  0.601437  0.286921  0.151470  0.186032  0.267518  0.134191  0.248380  0.147300  0.312289  0.069506  0.143773  0.344197  0.163072  0.138567  0.232095  0.383047  0.175686  0.119453  0.298148  0.130827  0.376816  0.176282  0.256900  0.159008  0.192242  0.181953  0.119881  0.104334  0.200255  0.111393  0.163396  0.256989  0.109629  0.149914  0.113192
1.66  0.331789  0.330488  0.262929  0.176700  0.179672  0.155766  0.205428  0.379310  0.296522  0.591207  0.286515  0.150659  0.182413  0.265139  0.130784  0.243874  0.146818  0.305888  0.068826  0.145133  0.338179  0.158139  0.138567  0.231405  0.371726  0.174271  0.116988  0.296739  0.129016  0.375793  0.173934  0.256204  0.157833  0.191890  0.179903  0.115699  0.105525  0.198654  0.111489  0.163396  0.247346  0.109629  0.147322  0.111607
1.67  0.324565  0.325737  0.262015  0.173290  0.177847  0.152620  0.203245  0.373197  0.292981  0.578880  0.288441  0.149848  0.178276  0.261934  0.131553  0.239258  0.146405  0.299624  0.068010  0.146222  0.331964  0.153700  0.138453  0.230371  0.360079  0.172529  0.114523  0.295331  0.127363  0.373825  0.172020  0.255595  0.156894  0.191655  0.177772  0.111599  0.107002  0.196437  0.111297  0.163300  0.238123  0.109000  0.144874  0.110167
1.68  0.316821  0.320595  0.261017  0.171627  0.176086  0.149978  0.200516  0.367085  0.288391  0.564060  0.290368  0.148935  0.173933  0.258314  0.132213  0.234422  0.145992  0.293498  0.067194  0.147038  0.325453  0.149359  0.137993  0.228763  0.348215  0.170570  0.111882  0.294098  0.125789  0.371778  0.170542  0.255248  0.156189  0.191420  0.175476  0.107581  0.108767  0.193728  0.110914  0.163108  0.229529  0.111725  0.142282  0.108727
1.69  0.308620  0.315128  0.260102  0.171129  0.174261  0.149223  0.197241  0.361081  0.282751  0.547273  0.291990  0.148023  0.169280  0.254592  0.132872  0.229586  0.146405  0.290469  0.066242  0.147446  0.318744  0.145808  0.137418  0.226694  0.336241  0.168284  0.109154  0.292954  0.124451  0.369417  0.169411  0.255248  0.155602  0.191302  0.173098  0.103727  0.110696  0.190486  0.110434  0.162916  0.221564  0.114450  0.139833  0.107287
1.70  0.300225  0.309401  0.259520  0.170463  0.175771  0.151299  0.193639  0.354969  0.275932  0.528388  0.293511  0.147516  0.164523  0.251076  0.133422  0.224641  0.147093  0.290745  0.065290  0.147718  0.312431  0.145117  0.136729  0.224167  0.323941  0.165889  0.106425  0.291810  0.123349  0.366583  0.168629  0.255422  0.155250  0.191302  0.170884  0.099873  0.112707  0.186874  0.109954  0.162533  0.214018  0.116756  0.137385  0.105991
1.71  0.291438  0.303283  0.259271  0.169549  0.179294  0.153312  0.189600  0.348965  0.276063  0.507798  0.294727  0.147516  0.159766  0.247457  0.133861  0.219585  0.147575  0.290951  0.064201  0.147718  0.305920  0.143933  0.135925  0.221064  0.311641  0.163277  0.103696  0.290577  0.122325  0.363906  0.168107  0.256030  0.155132  0.191420  0.168588  0.096102  0.114760  0.182975  0.109378  0.162053  0.206891  0.119062  0.135081  0.104551
1.72  0.282457  0.298077  0.259021  0.168634  0.182314  0.155325  0.185343  0.342962  0.276194  0.485635  0.295741  0.147414  0.155216  0.243424  0.134301  0.214640  0.147850  0.291089  0.063113  0.147446  0.299310  0.142355  0.134891  0.217503  0.299123  0.160446  0.100879  0.289257  0.121538  0.360915  0.167846  0.256987  0.155132  0.191537  0.166128  0.093560  0.116689  0.178829  0.108707  0.161477  0.200393  0.120948  0.132777  0.103255
1.73  0.273346  0.293716  0.258772  0.167470  0.184956  0.157338  0.180650  0.337068  0.275538  0.462422  0.296451  0.147212  0.151080  0.238874  0.134631  0.209694  0.148057  0.291089  0.061889  0.146902  0.292602  0.140283  0.133971  0.213481  0.286714  0.157507  0.098062  0.287936  0.120987  0.358003  0.167759  0.258291  0.155132  0.191772  0.163586  0.091674  0.118536  0.174561  0.108035  0.160806  0.194523  0.122625  0.130473  0.102103
1.74  0.264104  0.289095  0.258356  0.166222  0.187158  0.159289  0.175847  0.331173  0.273833  0.442094  0.296958  0.147009  0.147150  0.233807  0.134960  0.204748  0.148194  0.290951  0.060665  0.146222  0.285893  0.137915  0.132822  0.209000  0.275067  0.154460  0.095245  0.286440  0.120594  0.355169  0.167759  0.259857  0.155250  0.191890  0.160962  0.089788  0.120136  0.170292  0.107460  0.159846  0.189073  0.123883  0.128169  0.100807
1.75  0.254927  0.284214  0.257857  0.164892  0.189108  0.163000  0.171481  0.325279  0.270948  0.422291  0.297262  0.146603  0.143738  0.228119  0.135070  0.199913  0.148332  0.290676  0.059441  0.145405  0.279284  0.135153  0.131788  0.204289  0.267882  0.151303  0.092340  0.284856  0.120358  0.352178  0.167933  0.261857  0.155485  0.192242  0.158338  0.087820  0.121491  0.166065  0.106788  0.158791  0.184043  0.124721  0.126008  0.099655
