Period '120111'  '120112'  '120121'  '120122'  '120411'  '120412'  '120521'  '120522'  '120611'  '120612'  '120621'  '120622'  '120711'  '120712'  '120721'  '120722'  '120811'  '120812'  '120821'  '120822'  '120911'  '120912'  '120921'  '120922'  '121011'  '121012'  '121021'  '121022'  '121111'  '121112'  '121211'  '121212'  '121221'  '121222'  '121321'  '121322'  '121411'  '121412'  '121421'  '121422'  '121511'  '121512'  '121711'  '121712'
0.16  0.622447  0.737773  0.574170  0.968231  0.541783  0.704154  0.745085  0.642153  0.734419  1.201824  1.110474  0.969954  0.870183  0.794798  0.541490  0.403122  0.355859  0.416018  0.958398  0.503546  0.368564  0.321507  0.756376  0.598046  1.064999  0.866781  1.515562  0.928069  1.168310  1.430121  0.682516  0.387176  0.845184  0.820170  0.543072  0.673449  0.383886  0.263873  0.719403  0.721994  1.204661  1.159384  0.972353  1.338858
0.17  0.618802  0.715840  0.559369  0.983116  0.637154  0.695661  0.732314  0.646956  0.672912  1.079596  1.358666  1.195435  0.935744  0.866563  0.579406  0.372899  0.330667  0.447956  1.048851  0.478111  0.395002  0.355246  0.809574  0.637801  1.130201  0.881476  1.604469  0.938280  1.515844  1.141704  0.691038  0.425703  0.893684  0.830856  0.492972  0.598339  0.393614  0.288582  0.756918  0.740224  1.299407  0.958782  0.819847  1.254324
0.18  0.642753  0.769142  0.591715  1.053131  0.718749  0.641369  0.733187  0.666713  0.889959  1.102678  1.424363  1.345993  0.858187  1.124671  0.540500  0.350809  0.425173  0.429440  0.868760  0.448866  0.376160  0.361362  0.989160  0.677900  1.215649  1.057488  1.737038  0.838546  1.468378  1.118640  0.788615  0.475969  0.871489  0.926097  0.604735  0.726994  0.347521  0.287268  0.815925  0.768624  1.589935  0.877661  0.977537  1.055303
0.19  0.666117  0.775195  0.542240  1.130213  0.870740  0.580850  0.683413  0.673808  0.869500  1.066875  1.364141  1.059477  1.218669  1.074414  0.433565  0.339049  0.430197  0.428201  0.952821  0.464781  0.451037  0.429235  1.109344  0.656070  1.379034  0.940691  1.754291  0.844444  1.465623  1.141625  0.835664  0.428659  0.749356  0.874190  0.625316  0.902141  0.287350  0.287555  0.858909  0.747420  1.527259  0.877451  0.938799  0.943839
0.20  0.655769  0.746559  0.603689  1.219104  0.975234  0.580347  0.719761  0.915365  0.700321  0.877631  1.259004  0.978065  1.538305  1.098715  0.452578  0.416421  0.361022  0.445753  0.907254  0.500418  0.418186  0.458436  1.109918  0.686518  1.466442  0.909777  1.790118  1.169527  1.270012  1.071568  0.801225  0.441618  0.740079  1.045998  0.622118  0.883774  0.266910  0.311772  0.938640  0.706930  1.351182  0.890657  0.890700  0.880043
0.21  0.629346  0.727034  0.792779  1.298016  1.053305  0.574181  0.792130  1.081934  0.651272  0.736124  1.168974  1.160559  1.679871  1.089616  0.449281  0.457854  0.337275  0.481064  0.671259  0.438257  0.401513  0.487045  1.011680  0.861048  1.349644  0.837500  1.802794  1.329737  1.096914  1.107148  0.770091  0.446836  0.821696  1.096378  0.756103  0.855895  0.256608  0.301059  0.878578  0.702229  1.185586  0.920632  1.028373  0.898188
0.22  0.633316  0.716491  0.952017  1.321298  1.011281  0.577390  0.834264  1.054428  0.665830  0.802484  1.362011  1.138254  1.775628  1.161795  0.455546  0.498957  0.356272  0.489806  0.601209  0.484776  0.454786  0.577114  0.868172  1.066372  1.449570  0.892470  1.734309  1.213189  1.050944  1.018513  0.823054  0.432486  0.768146  0.957100  0.840397  0.886562  0.268059  0.243638  0.733987  0.724680  1.170284  1.042838  1.087705  1.003315
0.23  0.585871  0.700350  0.923412  1.240141  1.022165  0.589028  0.817782  0.951277  0.620978  0.823336  1.813988  1.072860  1.704586  1.153005  0.444885  0.497309  0.320205  0.458281  0.563803  0.490488  0.446893  0.591221  1.000075  1.101990  1.569197  0.913805  1.642761  1.018913  1.009775  0.814007  0.713215  0.466925  0.757812  0.894976  0.921493  0.956670  0.230299  0.222542  0.783975  0.776587  1.458296  1.068201  1.090009  1.074888
0.24  0.493649  0.652710  0.853979  1.095622  1.050726  0.614318  0.754145  0.728930  0.580191  0.794353  2.101618  1.323282  1.630339  1.070382  0.449281  0.466206  0.350215  0.533445  0.441657  0.460836  0.523349  0.536864  1.134506  0.988585  1.611649  0.943739  1.546811  0.765659  0.951604  0.833686  0.585722  0.457185  0.731741  0.882293  0.875574  1.079421  0.207560  0.260097  0.873301  0.803356  1.589306  0.997980  1.227826  1.052566
0.25  0.525995  0.680370  0.791947  0.971890  1.181139  0.656468  0.733624  0.690508  0.562093  0.900713  1.891547  1.513785  1.536030  1.088271  0.447743  0.434225  0.396952  0.684737  0.390650  0.483551  0.578002  0.488327  1.192645  0.931826  1.647025  0.837609  1.414155  0.648319  0.971834  0.913741  0.562588  0.398308  0.668678  0.860098  0.739457  1.205862  0.227713  0.287843  0.949002  0.943150  1.573165  1.046820  1.624573  1.020452
0.26  0.662668  0.730679  0.678527  0.889070  1.305009  0.655839  0.734606  0.776085  0.702026  0.961302  1.701957  1.541768  1.336452  1.015265  0.516102  0.413453  0.457386  0.792802  0.438529  0.552106  0.547222  0.479744  1.247107  0.962274  1.891940  0.741820  1.241181  0.697614  0.948927  0.960105  0.586243  0.459185  0.711894  0.787875  0.719532  1.308605  0.235840  0.310663  0.985750  0.920698  1.516359  0.877451  1.858732  1.032261
